year,country_name,country_code,GPCP,RainfallGrowth,LaggedRainfallGrowth,war_prio,InternalConflict,pop,lpopl1,Mountains,lmtnest,Oil,EthnicFrac,ReligiousFrac,Democracy,GDPGrowth,LaggedGDPGrowth,InitialGDP,polity2l_6,LaggedInternalConflict
1983,Gambia,GMB,508.82330322265625,-0.22891896963119507,-0.11188112199306488,0,0,701,6.5191473960876465,0,0,0,0.727814793586731,0.1818000078201294,7,-0.17316509783267975,-0.01912263222038746,1.031000018119812,1,0
1984,Gambia,GMB,587.57745361328125,0.15477700531482697,-0.22891896963119507,0,0,724,6.5525078773498535,0,0,0,0.727814793586731,0.1818000078201294,7,0.11095698177814484,-0.17316509783267975,1.031000018119812,1,0
1985,Gambia,GMB,650.1529541015625,0.10649745166301727,0.15477700531482697,0,0,748,6.58479118347168,0,0,0,0.727814793586731,0.1818000078201294,7,-0.03995006904006004,0.11095698177814484,1.031000018119812,1,0
1986,Gambia,GMB,816.91632080078125,0.25649866461753845,0.10649745166301727,0,0,772,6.617403030395508,0,0,0,0.727814793586731,0.1818000078201294,7,0.09622886776924133,-0.03995006904006004,1.031000018119812,1,0
1987,Gambia,GMB,832.7762451171875,0.019414380192756653,0.25649866461753845,0,0,797,6.648984432220459,0,0,0,0.727814793586731,0.1818000078201294,7,0.011862385086715221,0.09622886776924133,1.031000018119812,1,0
1988,Gambia,GMB,956.3062744140625,0.14833520352840424,0.019414380192756653,0,0,823,6.680854797363281,0,0,0,0.727814793586731,0.1818000078201294,7,-0.05744427442550659,0.011862385086715221,1.031000018119812,1,0
1989,Gambia,GMB,872.169189453125,-0.08798131346702576,0.14833520352840424,0,0,849,6.712956428527832,0,0,0,0.727814793586731,0.1818000078201294,7,0.004975134506821632,-0.05744427442550659,1.031000018119812,1,0
1990,Gambia,GMB,664.80126953125,-0.23776111006736755,-0.08798131346702576,0,0,875,6.744059085845947,0,0,0,0.727814793586731,0.1818000078201294,7,-0.011138617992401123,0.004975134506821632,1.031000018119812,1,0
1991,Gambia,GMB,680.0511474609375,0.022939002141356468,-0.23776111006736755,0,0,884,6.774223804473877,0,0,0,0.727814793586731,0.1818000078201294,8,-0.013032081536948681,-0.011138617992401123,1.031000018119812,1,0
1992,Gambia,GMB,719.74853515625,0.05837412178516388,0.022939002141356468,0,0,889,6.784457206726074,0,0,0,0.727814793586731,0.1818000078201294,8,-0.00797833502292633,-0.013032081536948681,1.031000018119812,1,0
